crop,wavg_price,wavg_price_y1,wavg_price_y2,price_cv_y1,price_cv_y2,total_volume,trade_days,is_blanched,avg_daily_volume,availability,price_spread_ratio
SF2 韭菜 韭菜黃,143.26538040450745,145.46262095784076,140.9465896320584,0.34627449266567345,0.32787646618887023,777291,595,False,1306.3714285714286,1.0,0.3525414447872973
LJ1 芥菜 芥菜仁,18.491818223066304,19.843542478444704,17.138049200702646,0.5609899488742794,0.49221311169626036,771385,364,False,2119.1895604395604,0.611764705882353,0.5004481454307467
SV2 蘆筍 綠蘆筍,175.63181619768253,188.97518039849217,164.25256878978453,0.3662153345163984,0.45529540059224727,726215,595,False,1220.5294117647059,1.0,0.6365419428516405
SF3 韭菜 韭菜花,123.10020008324128,128.21559062893724,118.23852694885315,0.34410107369974385,0.3970731216397005,723199,595,False,1215.4605042016806,1.0,0.2932415281657723
FF2 絲瓜 角瓜,73.1207067121017,72.02436377747823,74.12880169989911,0.9359393895583531,1.151802084106561,715454,595,False,1202.4436974789917,1.0,0.6084020609027697
FP1 萊豆 豆莢,59.942727172529885,66.19924238599609,55.312842960468636,0.53922053784196,0.6139901408528656,698621,449,False,1555.9487750556793,0.7546218487394958,0.3995771421533199
OG1 熟筍 桂竹筍,72.2115128935853,72.17399787828296,72.24645333258904,0.3012362613227534,0.32753092867764466,691972,494,False,1400.753036437247,0.8302521008403362,0.17832007621891993
SU9 薯蕷 進口,133.15367891266948,134.76144275982142,131.87535027004353,0.46275513569969917,0.38152997341591594,684686,594,False,1152.6700336700337,0.9983193277310924,0.3844662803981619
LG5 芹菜 芹菜管,48.25881040880692,46.27508581110784,50.507571517207694,0.4200262455857953,0.4805211548151355,646491,291,False,2221.618556701031,0.4890756302521008,0.9860525683299824
SR1 菱角 生菱角,57.686815947432,70.71833403453303,50.012993243243244,0.258223411579904,0.3598095222502688,634911,371,False,1711.3504043126684,0.6235294117647059,0.297999420061256
SH7 竹筍 去殼,33.960335804795086,32.84087453797336,35.17923550308361,0.4430134699346618,0.5694761643753042,632689,595,False,1063.3428571428572,1.0,0.3179248157229296
